League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
Bayernliga Nord,Germany,Bayernliga_Nord,Bayernliga,5,[[German football league system|Level 5]],ok,Bayernliga Süd
Landesliga Braunschweig,Germany,Landesliga_Braunschweig,Landesliga Braunschweig,6,[[German football league system|Level 6]],ok,
Ligue 2,Ivory Coast,Ligue_2_(Ivory_Coast),Ligue 2 (Ivory Coast),2,2,ok,
Landesliga Hamburg-Hammonia,Germany,Landesliga_Hamburg-Hammonia,Landesliga Hamburg-Hammonia,6,[[German football league system|Level 6]],ok,
Tunisian Ligue Professionnelle 2,Tunisia,Tunisian_Ligue_Professionnelle_2,Tunisian Ligue Professionnelle 2,2,2,ok,Ligue 2
Besta deild karla,Iceland,Besta_deild_karla,Besta deild karla,1,1,ok,
2. divisjon,Norway,Norwegian_Second_Division,Norwegian Second Division,3,3,ok,Norwegian Second Division
Egyptian Second Division B,Egypt,Egyptian_Second_Division_B,Egyptian Second Division B,3,3,ok,
Egyptian Second Division,Egypt,Egyptian_Second_Division,Egyptian Second Division,2,2,ok,
Egyptian Third Division,Egypt,Egyptian_Third_Division,Egyptian Third Division,4,4,ok,
Egyptian Second Division A,Egypt,Egyptian_Second_Division_A,Egyptian Second Division A,2,2,ok,
League 3 (Iran),Iran,League_3_(Iran),League 3 (Iran),4,[[Iranian football league system#Current system|4]],ok,League 3
Russian Second League,Russia,Russian_Second_League,Russian Second League,3,3–4,ok,
NRFL Championship,New Zealand,NRFL_Championship,NRFL Championship,3,[[New Zealand football league system|3]],ok,
NRFL Northern Conference,New Zealand,NRFL_Conference,NRFL Conference,4,[[New Zealand football league system|4]],ok,NRFL Southern Conference
Ykkösliiga,Finland,Ykk%C3%B6sliiga,Ykkösliiga,2,2,ok,
I liga,Poland,I_liga,I liga,2,[[Polish football league system|2]],ok,
League of Ireland Premier Division,Ireland,League_of_Ireland_Premier_Division,League of Ireland Premier Division,1,1,ok,
Canterbury Premiership League,New Zealand,Canterbury_Premiership_League,Canterbury Premiership League,3,[[New Zealand football league system|3]],ok,
Cape Verdean football Championships,Cape Verde,Cape_Verdean_football_Championships,Cape Verdean Football Championship,1,1,ok,
Segundona,Angola,Segundona,Segundona,2,2,ok,
NB II,Hungary,Nemzeti_Bajnoks%C3%A1g_II,Nemzeti Bajnokság II,2,[[Hungarian football league system|2]],ok,
Terceira Divisão,Portugal,Terceira_Divis%C3%A3o,Terceira Divisão,3,[[Portuguese football league system|3]] (1948–1990)<br>[[Portuguese football league system|4]] (1990–2013),ok,
Liga II,Romania,Liga_II,Liga II,2,2,ok,
"III liga, group IV",Poland,"III_liga,_group_IV","III liga, group IV",4,[[Polish football league system|4]],ok,
Division 4 Sörmland,Sweden,Swedish_Football_Division_4,Division 4 (Swedish football),6,6,ok,
Norwegian Third Division,Norway,Norwegian_Third_Division,Norwegian Third Division,4,4,ok,3. divisjon
Iraqi Third Division League,Iraq,Iraqi_Third_Division_League,Iraqi Third Division League,5,5,ok,
Iraqi First Division League,Iraq,Iraqi_First_Division_League,Iraqi First Division League,3,3,ok,
Oberliga Niedersachsen,Germany,Oberliga_Niedersachsen,Oberliga Niedersachsen,5,[[German football league system|Level 5]],ok,
Austrian Regionalliga West,Austria,Austrian_Regionalliga_West,Austrian Regionalliga West,3,3,ok,
2. Liga Interregional,Switzerland,2._Liga_Interregional,2. Liga Interregional,5,5,ok,
Interregional League,Algeria,Interregional_League,Interregional League,3,3,ok,Inter-Régions Division
Tercera Federación – Group 5,Spain,Tercera_Divisi%C3%B3n_Groups_1-9,Tercera División,5,corrected: current Tercera Federación = 5th tier of Spanish pyramid,corrected,3ª – Group 5
Regionalliga Salzburg,Austria,Regionalliga_Salzburg,Regionalliga Salzburg,3,3,ok,
Regionalliga East,Austria,Austrian_Regionalliga_East,Austrian Regionalliga East,3,3,ok,
